Country,Date,Round,Goal,Conceded,Total Shots,Shots on target,Total Passes,Succeeded Passes,Clearances,Committed Offsides,Fouls Commited
Qatar,2022-11-21,Group,0,2,5,3,434,351,18,3,15
Ecuador,2022-11-21,Group,2,0,6,3,486,412,6,4,15
