Country,Goal,Conceded,Total Shots,Shots on target,Expected Goals,Total Passes,Succeeded Passes,Fouls,Wins,Loses,Draws,Possession,FIFA Ranking,Average Age,Average Height
Germany,1,1,11,4,1.29,344,271,11,0,0,1,0.36,11,27,184.6
Germany,4,2,32,11,6.06,713,638,9,1,0,0,0.68,11,27,184.6
France,0,1,10,3,0.81,622,534,6,0,1,0,0.66,4,27.7,188.8
France,2,1,21,7,2.42,491,421,4,1,0,0,0.48,4,27.7,188.8
France,2,1,8,5,1.01,377,306,14,1,0,0,0.43,4,27.7,188.8
France,2,0,14,3,2.1,363,293,11,1,0,0,0.39,4,27.7,188.8
France,3,1,16,8,1.37,551,476,10,1,0,0,0.55,4,27.7,188.8
France,3,3,10,5,2.27,532,409,19,0,1,0,0.46,4,27.7,188.8
France,4,1,23,7,4.21,723,646,5,1,0,0,0.62,4,27.7,188.8
England,0,0,8,3,0.77,541,472,9,0,0,1,0.56,5,26.5,183.4
England,1,2,16,8,2.41,503,441,10,0,1,0,0.57,5,26.5,183.4
England,3,0,18,7,2.46,594,525,9,1,0,0,0.65,5,26.5,183.4
England,3,0,8,4,1.02,589,505,16,1,0,0,0.61,5,26.5,183.4
England,6,2,13,7,2.11,797,716,9,1,0,0,0.78,5,26.5,183.4
Ecuador,1,1,15,4,1.68,413,328,12,0,0,1,0.46,44,26.3,180.1
Ecuador,1,2,9,4,0.93,434,336,23,0,1,0,0.61,44,26.3,180.1
Ecuador,2,0,6,3,1.18,486,412,15,1,0,0,0.53,44,26.3,180.1
Denmark,0,0,11,5,1.6,595,501,9,0,0,1,0.61,10,27.7,186
Denmark,0,1,13,3,0.65,664,548,10,0,1,0,0.69,10,27.7,186
Denmark,1,2,10,2,0.64,528,456,9,0,1,0,0.52,10,27.7,186
Croatia,0,0,5,2,0.52,642,551,11,0,0,1,0.65,15,27.2,183.9
Croatia,0,0,11,4,0.7,554,471,7,0,0,1,0.48,15,27.2,183.9
Croatia,0,3,12,2,0.52,607,531,8,0,1,0,0.61,15,27.2,183.9
Croatia,1,1,17,4,1.45,725,608,16,1,0,0,0.58,15,27.2,183.9
Croatia,1,1,9,1,0.63,694,613,22,1,0,0,0.5,15,27.2,183.9
Croatia,2,1,12,4,0.66,487,411,13,1,0,0,0.51,15,27.2,183.9
Croatia,4,1,13,10,2.62,443,372,13,1,0,0,0.48,15,27.2,183.9
Costa Rica,0,7,0,0,0,230,165,12,0,1,0,0.18,34,26.9,180.1
Costa Rica,1,0,4,1,0.11,443,353,9,1,0,0,0.43,34,26.9,180.1
Costa Rica,2,4,8,6,1.11,337,252,3,0,1,0,0.32,34,26.9,180.1
Canada,0,1,22,3,2.63,429,353,14,0,1,0,0.46,43,26.7,182.8
Canada,1,4,8,2,0.45,473,399,5,0,1,0,0.52,43,26.7,182.8
Canada,1,2,5,0,1.35,524,453,14,0,1,0,0.59,43,26.7,182.8
Cameroon,0,1,8,5,0.74,494,420,10,0,1,0,0.49,40,27.1,183.5
Cameroon,1,0,7,3,0.47,299,231,14,1,0,0,0.35,40,27.1,183.5
Cameroon,3,3,13,8,2.29,340,244,8,0,0,1,0.41,40,27.1,183.5
Brazil,0,1,21,7,2.48,541,475,14,0,1,0,0.65,1,27.8,181.1
Brazil,1,0,13,5,1.02,550,483,10,1,0,0,0.54,1,27.8,181.1
Brazil,1,1,21,11,2.55,684,609,24,0,1,0,0.5,1,27.8,181.1
Brazil,2,0,23,9,2.43,581,504,7,1,0,0,0.59,1,27.8,181.1
Brazil,4,1,18,9,3.6,609,544,8,1,0,0,0.53,1,27.8,181.1
Belgium,0,2,10,3,0.96,652,577,10,0,1,0,0.67,2,28.1,185
Belgium,0,0,16,3,3.07,593,521,9,0,0,1,0.52,2,28.1,185
Belgium,1,0,9,3,0.77,520,432,11,1,0,0,0.54,2,28.1,185
Australia,1,4,4,1,0.52,440,368,11,0,1,0,0.38,36,28.3,181
Australia,1,0,9,2,0.61,351,239,15,1,0,0,0.42,36,28.3,181
Australia,1,0,8,4,0.59,304,195,11,1,0,0,0.31,36,28.3,181
Australia,1,2,5,1,0.59,435,359,15,0,1,0,0.39,36,28.3,181
Argentina,1,2,15,6,2.26,596,508,7,0,1,0,0.69,3,27.7,180.4
Argentina,2,0,5,2,0.32,528,446,15,1,0,0,0.58,3,27.7,180.4
Argentina,2,0,23,12,3.69,868,800,11,1,0,0,0.73,3,27.7,180.4
Argentina,2,1,14,5,1.69,695,610,8,1,0,0,0.61,3,27.7,180.4
Argentina,2,2,14,5,1.92,602,499,18,1,0,0,0.48,3,27.7,180.4
Argentina,3,0,9,7,2.34,399,333,15,1,0,0,0.39,3,27.7,180.4
Argentina,3,3,20,10,3.23,635,525,26,1,0,0,0.54,3,27.7,180.4
